   R0625040000030324Instrumentos financieros                      
0615330000BR41020512          19810531BRP500000000001886645INP    
0615330000BR02280508          19821130BRP500000000001652863INP    
0615330000BR36200601          19860430BRP500000000000848278INP    
0615330000BR16291206          19860228BRP500000000000739745INP    
0615330000BR41011110          19810531BRP500000000001975584INP    
0615330000BR16200105          19860228BRP500000000000786002INP    
0615330000BR17100605          19870228BRP500000000000639413INP    
0615330000BR01180207          19811130BRP500000000002074711INP    
0615330000BR23040808          19830331BRP500000000001521026INP    
0615330000BR22110304          19820331BRP500000000002231556INP    
0615330000BR16290103          19860228BRP500000000000835938INP    
0615330000BR01240709          19811130BRP500000000001928711INP    
0615330000BRA2210708          19821231BRP500000000001582185INP    
0615330000BR23120702          19830331BRP500000000001836814INP    
0615330000BR91100601          19811031BRP500000000002490446INP    
0615330000BR71210606          19810831BRP500000000002198885INP    
0615330000BR61191103          19810731BRP500000000002401449INP    
0615330000BR51100909          19810630BRP500000000002011301INP    
0615330000BR51120409          19810630BRP500000000002037059INP    
0615330000BR51090905          19810630BRP500000000002278664INP    
0615330000BR61161106          19810731BRP500000000002186041INP    
0615330000BR41260807          19810531BRP500000000002183247INP    
0615330000BR51211003          19810630BRP500000000002417018INP    
0615330000BR41300402          19810531BRP500000000002568385INP    
0615330000BR41270602          19810531BRP500000000002563785INP    
0615330000BR41160212          19810531BRP500000000001895928INP    
0615330000BR41100212          19810531BRP500000000001898115INP    
0615330000BR41080212          19810531BRP500000000001898844INP    
0615330000BR61300106          19810731BRP500000000002244286INP    
0615330000BR51140602          19810630BRP500000000002520035INP    
0615330000BR51060806          19810630BRP500000000002216623INP    
0615330000BR41020710          19810531BRP500000000001995947INP    
0615330000BR51271206          19810630BRP500000000002192433INP    
0615330000BR51211102          19810630BRP500000000002484930INP    
0615330000BR41100701          19810531BRP500000000002631877INP    
0615330000BR41040609          19810531BRP500000000002062935INP    
0615330000BR61190812          19810731BRP500000000001827559INP    
0615330000BR14160805          19840229BRP500000000001329684INP    
0615330000BR41090307          19810531BRP500000000002211893INP    
0615330000BR22250805          19820331BRP500000000002137290INP    
0615330000BR51061006          19810630BRP500000000002205378INP    
0615330000BR41140806          19810531BRP500000000002249969INP    
0615330000BR41150708          19810531BRP500000000002118122INP    
0615330000BR41120712          19810531BRP500000000001873291INP    
0615330000BR82290403          19820930BRP500000000002131066INP    
0615330000BR71101009          19810831BRP500000000001979000INP    
0615330000BR61151111          19810731BRP500000000001872215INP    
